species,year,w,alpha,in.hull,outlier,total
rthu,2010,44,1.9,174,19,143
rthu,2010,45,2.8,114,12,78
rthu,2010,46,3.5,38,13,34
rthu,2010,47,3.3,41,15,44
rthu,2010,48,1.4,12,25,30
rthu,2010,49,3,19,12,20
rthu,2010,50,7.59999999999999,33,4,27
rthu,2010,51,4.2,45,6,31
rthu,2010,52,2.5,18,16,22
rthu,2011,0,1.2,819,76,344
rthu,2011,1,1.5,27,19,41
rthu,2011,2,1.4,61,15,63
rthu,2011,3,1.6,55,22,63
rthu,2011,4,1.7,93,15,89
rthu,2011,5,1.4,152,16,135
rthu,2011,6,1.3,206,21,160
rthu,2011,7,1.2,271,21,198
rthu,2011,8,1.2,452,25,314
rthu,2011,9,1.2,498,22,360
rthu,2011,10,1.2,614,55,485
rthu,2011,11,1.2,1062,28,779
rthu,2011,12,1.2,1390,26,1045
rthu,2011,13,1.2,1764,45,1252
rthu,2011,14,1.2,1195,47,868
rthu,2011,15,1.2,1438,58,1062
rthu,2011,16,1.2,1092,48,853
rthu,2011,17,1.2,725,50,610
rthu,2011,18,1.2,848,56,734
rthu,2011,19,1.2,732,55,603
rthu,2011,20,1.2,674,44,556
rthu,2011,21,1.2,540,53,440
rthu,2011,22,1.2,652,53,547
rthu,2011,23,1.2,654,54,530
rthu,2011,24,1.2,609,30,481
rthu,2011,25,1.2,625,51,503
rthu,2011,26,1.2,635,33,484
rthu,2011,27,1.2,527,42,414
rthu,2011,28,1.2,565,67,452
rthu,2011,29,1.2,757,48,571
rthu,2011,30,1.2,784,51,579
rthu,2011,31,1.2,755,58,538
rthu,2011,32,1.2,1009,58,701
rthu,2011,33,1.2,1113,70,799
rthu,2011,34,1.2,1190,53,782
rthu,2011,35,1.2,1183,54,809
rthu,2011,36,1.2,1368,65,969
rthu,2011,37,1.2,1566,34,1050
rthu,2011,38,1.2,978,55,658
rthu,2011,39,1.2,1174,49,814
rthu,2011,40,1.2,765,26,552
rthu,2011,41,1.2,520,52,383
rthu,2011,42,1.2,361,70,304
rthu,2011,43,1.4,249,26,200
rthu,2011,44,2.3,149,15,112
rthu,2011,45,2,37,33,48
rthu,2011,46,1.7,55,35,62
rthu,2011,47,3.1,62,6,53
rthu,2011,48,1.6,37,19,39
rthu,2011,49,1.4,43,27,40
rthu,2012,0,1.4,951,108,440
rthu,2012,1,2.8,64,20,63
rthu,2012,2,2,62,17,52
rthu,2012,3,1.4,133,24,107
rthu,2012,4,1.5,152,21,123
rthu,2012,5,1.4,207,35,166
rthu,2012,6,1.2,270,23,192
rthu,2012,7,1.3,316,33,239
rthu,2012,8,1.2,585,23,369
rthu,2012,9,1.2,495,34,345
rthu,2012,10,1.2,868,64,669
rthu,2012,11,1.2,1771,26,1265
rthu,2012,12,1.2,2050,37,1409
rthu,2012,13,1.2,1572,46,1124
rthu,2012,14,1.2,1824,40,1290
rthu,2012,15,1.2,1447,55,1087
rthu,2012,16,1.2,997,40,779
rthu,2012,17,1.2,1061,72,836
rthu,2012,18,1.2,1089,44,867
rthu,2012,19,1.2,900,29,727
rthu,2012,20,1.2,808,37,661
rthu,2012,21,1.2,848,65,682
rthu,2012,22,1.2,847,35,657
rthu,2012,23,1.2,763,48,591
rthu,2012,24,1.2,870,47,669
rthu,2012,25,1.2,916,34,694
rthu,2012,26,1.2,814,72,617
rthu,2012,27,1.2,743,48,544
rthu,2012,28,1.2,956,47,697
rthu,2012,29,1.2,1119,44,812
rthu,2012,30,1.2,982,96,702
rthu,2012,31,1.2,1429,40,999
rthu,2012,32,1.2,1702,52,1178
rthu,2012,33,1.2,1815,48,1201
rthu,2012,34,1.2,1766,32,1187
rthu,2012,35,1.2,2275,67,1475
rthu,2012,36,1.2,2063,69,1337
rthu,2012,37,1.2,1587,64,1038
rthu,2012,38,1.2,1648,32,1089
