species,year,w,alpha,in.hull,outlier,total
bchu,2010,45,2,28,11,32
bchu,2010,46,2,19,7,22
bchu,2010,47,1.8,11,7,15
bchu,2010,48,7.43999999999999,15,3,16
bchu,2010,49,5,9,0,8
bchu,2010,50,5,3,0,3
bchu,2010,51,5,2,0,2
bchu,2010,52,5,3,0,3
bchu,2010,53,5,1,0,1
bchu,2010,54,5,1,0,1
bchu,2010,55,5,1,0,1
bchu,2010,57,5,1,0,1
bchu,2011,0,4.3,26,1,18
bchu,2011,1,5,2,0,2
bchu,2011,2,5,1,0,1
bchu,2011,4,5,4,0,4
bchu,2011,5,5,5,0,4
bchu,2011,6,5,6,0,5
bchu,2011,7,5,6,0,6
bchu,2011,8,5,15,0,11
bchu,2011,9,1.6,16,9,18
bchu,2011,10,1.5,32,3,23
bchu,2011,11,1.7,64,8,54
bchu,2011,12,1.7,52,13,51
bchu,2011,13,1.5,131,14,100
bchu,2011,14,1.2,157,17,117
bchu,2011,15,1.2,175,21,142
bchu,2011,16,1.3,157,17,130
bchu,2011,17,1.2,185,25,152
bchu,2011,18,1.3,228,26,186
bchu,2011,19,1.5,202,24,154
bchu,2011,20,1.5,254,31,215
bchu,2011,21,1.2,275,19,229
bchu,2011,22,1.6,198,22,163
bchu,2011,23,1.5,224,25,185
bchu,2011,24,1.5,203,21,167
bchu,2011,25,1.6,171,17,139
bchu,2011,26,2,120,14,109
bchu,2011,27,1.6,132,18,124
bchu,2011,28,1.6,127,12,118
bchu,2011,29,1.8,117,12,108
bchu,2011,30,1.8,120,14,103
bchu,2011,31,1.8,135,14,110
bchu,2011,32,1.5,112,50,114
bchu,2011,33,1.5,98,25,91
bchu,2011,34,1.8,140,15,118
bchu,2011,35,1.9,106,17,96
bchu,2011,36,1.9,126,15,107
bchu,2011,37,1.9,132,13,107
bchu,2011,38,1.6,133,40,117
bchu,2011,39,1.7,216,22,149
bchu,2011,40,1.9,116,13,94
bchu,2011,41,1.8,94,25,90
bchu,2011,42,1.5,141,28,122
bchu,2011,43,1.9,95,10,83
bchu,2011,44,2,90,8,80
bchu,2011,45,1.9,97,9,82
bchu,2011,46,1.7,60,13,51
bchu,2011,47,1.4,45,16,46
bchu,2011,48,2.4,35,5,33
