species,year,w,alpha,in.hull,outlier,total
ruhu,2010,28,2.3,129,15,104
ruhu,2010,29,2.1,138,15,104
ruhu,2010,30,1.6,109,13,82
ruhu,2010,31,1.3,145,17,115
ruhu,2010,32,1.4,132,15,105
ruhu,2010,33,1.5,109,11,90
ruhu,2010,34,2,125,14,108
ruhu,2010,35,2.2,132,18,118
ruhu,2010,36,2.4,148,17,114
ruhu,2010,37,2,132,15,110
ruhu,2010,38,1.6,132,30,127
ruhu,2010,39,1.7,136,23,106
ruhu,2010,40,1.4,101,47,108
ruhu,2010,41,2.2,128,15,104
ruhu,2010,42,2.3,137,15,108
ruhu,2010,43,2.3,137,25,111
ruhu,2010,44,1.6,89,33,89
ruhu,2010,45,2.2,134,17,115
ruhu,2010,46,2.3,104,16,89
ruhu,2010,47,1.7,53,31,63
ruhu,2010,48,1.8,84,25,81
ruhu,2010,49,2.7,83,9,68
ruhu,2010,50,2.9,51,12,50
ruhu,2010,51,4.6,19,3,20
ruhu,2010,52,4,26,6,24
ruhu,2010,53,3.2,9,7,12
ruhu,2010,54,5,7,0,6
ruhu,2010,55,5,12,0,10
ruhu,2010,56,5,9,0,6
ruhu,2010,57,5,8,0,6
ruhu,2010,58,5,2,0,2
ruhu,2010,59,5,5,0,5
ruhu,2010,60,5,1,0,1
ruhu,2010,62,5,3,0,3
ruhu,2010,63,5,2,0,2
ruhu,2011,0,4.6,40,5,24
ruhu,2011,1,5,4,0,3
ruhu,2011,2,5,4,0,4
ruhu,2011,3,5,6,0,6
ruhu,2011,4,5,6,0,6
ruhu,2011,5,5,13,0,12
ruhu,2011,6,5,13,0,8
ruhu,2011,7,7.33999999999999,11,6,11
ruhu,2011,8,3.6,17,7,20
ruhu,2011,9,3.9,28,4,23
ruhu,2011,10,1.4,36,17,44
ruhu,2011,11,1.5,61,15,58
ruhu,2011,12,1.4,72,9,65
ruhu,2011,13,1.6,96,12,88
ruhu,2011,14,1.2,153,17,122
ruhu,2011,15,1.2,174,13,139
ruhu,2011,16,1.2,180,14,136
